name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est,fga_est,ts_pct,ast_to_tov,ft_pct,three_pt_pct,rim_pct,dunk_rate,position
Ray Spalding,56.0,2018,73,114,5,19,79,54,55,79,44,6,113,199,46,54,62,444,36,82,91.8,27.6,20.9,61,7.0,9.3,0,-1.1,3.0,164.0,2.0,1719,286,0.6603998096144692,0.7540983606557377,0.6403508771929824,0.2631578947368421,0.5939849624060151,0.3308270676691729,C
Scottie Lewis,56.0,2021,37,55,14,44,23,12,14,29,6,0,17,48,31,33,22,165,21,77,98.8,25.6,20.9,39,5.7,8.5,0,-0.1,3.2,8.0,1.0,950,122,0.564295485636115,0.7948717948717948,0.6727272727272727,0.3181818181818182,0.6571428571428571,0.17142857142857143,SF
Will Richard,56.0,2025,81,96,80,223,66,31,17,20,22,1,45,138,74,66,13,531,40,76,36.2,31.6,22.1,62,9.0,20.3,0,-0.1,2.3,1347.0,1.0,2232,357,0.6650135256988278,1.1935483870967742,0.84375,0.35874439461883406,0.6804123711340206,0.2268041237113402,SG
Kevin McCullar Jr.,56.0,2024,115,142,38,112,76,52,28,58,9,1,19,131,103,38,10,459,25,79,0.2,34.2,22.8,64,7.1,10.3,0,-2.3,3.0,187.0,2.0,1490,326,0.5907640032948929,1.609375,0.8098591549295775,0.3392857142857143,0.59375,0.0703125,SF
Ryan Reid,57.0,2010,46,77,0,0,40,26,37,59,5,0,58,65,35,18,16,210,31,80,82.0,22.7,22.3,51,7.5,12.5,0,-1.1,3.2,16.0,1.0,1177,162,0.5360424749846845,0.6862745098039216,0.5974025974025974,0.0,0.6060606060606061,0.07575757575757576,PF
Kevin Hervey,57.0,2018,113,140,77,227,85,51,59,93,18,2,77,205,73,41,20,676,33,79,0.0,32.2,21.5,90,0.0,3.2,0,-1.9,3.1,48.0,1.0,1957,515,0.5861949358307319,0.8111111111111111,0.8071428571428572,0.3392070484581498,0.625,0.1323529411764706,SF
Jordan Bone,57.0,2019,74,89,50,139,49,41,75,80,4,0,18,96,209,25,4,485,36,75,66.0,33.0,21.2,71,6.7,15.2,0,-2.4,2.9,248.0,2.0,2058,384,0.5730692882124965,2.943661971830986,0.8314606741573034,0.3597122302158273,0.5444444444444444,0.044444444444444446,SF
Reggie Perry,57.0,2020,149,194,23,71,76,48,48,87,36,0,97,215,71,26,36,538,31,82,94.0,31.1,19.8,90,4.6,8.3,0,-1.2,2.8,422.0,2.0,1622,330,0.6476309707241911,0.7888888888888889,0.7680412371134021,0.323943661971831,0.6129032258064516,0.2903225806451613,PF
Trayce Jackson-Davis,57.0,2023,146,210,0,0,139,103,49,79,74,6,91,255,129,27,92,670,32,81,94.2,34.6,22.9,82,7.6,10.3,0,-2.4,1.9,2692.0,3.0,1870,370,0.7244809688581315,1.5731707317073171,0.6952380952380952,0.0,0.5743801652892562,0.30578512396694213,PF
Jabari Walker,57.0,2022,127,162,36,104,75,76,23,42,26,1,68,242,41,24,22,483,33,81,69.0,28.1,19.5,76,3.9,5.3,0,-1.0,1.7,3813.0,4.0,1587,320,0.6172050705377224,0.5394736842105263,0.7839506172839507,0.34615384615384615,0.4966887417218543,0.17218543046357615,SF
