name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est
Jericho Sims,58,2021,52,100,0,1,27,19,8,20,59,3,56,132,17,19,28,240,26,82,89.6,24.5,22.3,42,6.3,10,0,-3.5,1.7,3924,5,1096
Chris Livingston,58,2023,39,54,18,59,36,26,14,38,11,0,38,104,24,15,12,215,34,78,97.8,22.4,19.3,31,6.2,10.1,0,-0.7,2.9,237,3,1267
George King,59,2018,68,87,62,157,43,45,32,37,5,0,56,194,35,17,21,414,32,78,0,28.5,24,64,4.3,2.3,0,-1.8,3.1,25,2,1578
Jaron Blossomgame,59,2017,120,168,24,94,93,48,62,100,41,3,59,148,51,27,30,584,33,79,76.8,34.3,23.3,55,6.8,8.3,0,-2.3,2.7,443,1,1918
Jalen Harris,59,2020,135,164,67,185,67,53,67,102,22,4,22,170,118,34,4,648,30,77,0,33,21.4,72,1.9,4.6,0,-0.3,3,176,1,1771
Raiquan Gray,59,2021,71,93,8,30,54,33,35,46,12,1,37,123,55,30,18,297,25,80,68.4,26.3,21.6,55,4.9,10.1,0,-0.7,3.1,72,2,1146
Jahmai Mashack,59,2025,60,83,20,57,39,25,15,27,0,0,52,109,57,64,20,228,38,76,88,28.2,22.2,35,8.8,18.1,0,-1,2.7,665,1,1738
Robert Sacre,60,2012,150,197,0,2,31,25,64,83,22,2,67,141,24,12,47,384,33,84,65.2,26.3,22.6,60,3.2,11.7,0,-3.8,1.9,2747,4,1437
Isaiah Thomas,60,2011,151,210,60,172,84,39,43,81,1,2,26,97,213,47,2,587,35,69,57.6,31.9,22,104,5.3,13.6,0,-0.1,1,16417,12,1996
Cory Jefferson,60,2014,128,198,14,37,33,26,59,117,67,12,100,193,36,13,46,488,36,81,86.8,29.3,23.1,50,7.2,10.6,0,-0.9,2.7,584,2,1677
Tyrone Wallace,60,2016,100,154,25,84,64,39,56,93,6,1,27,121,123,27,12,427,28,77,81.8,32.2,21.6,74,4.7,10.4,0,-2.4,2.1,1736,4,1538
Sam Merrill,60,2020,150,168,89,217,68,48,38,51,0,1,6,125,124,28,4,629,32,77,14.4,34.9,22.2,50,2.2,10.5,0,1.2,1.6,4455,6,1897
Kostas Antetokounmpo,60,2018,33,64,2,15,19,18,10,13,27,0,24,59,13,7,31,151,29,82,79.8,15.1,20.1,39,2,-0.2,1,-0.4,3.1,87,3,733
Ryan Conwell,,2026,124,149,112,325,72,50,17,29,0,0,21,141,91,38,6,638,34,75,,30.9,21.6,73,7.6,14.7,0,,,,,1857
Braden Smith,,2026,99,120,64,177,49,32,84,106,0,0,25,113,345,66,8,557,39,72,61.2,34.5,22.5,113,9,16.7,0,,,,,2185
Richie Saunders,,2026,89,109,64,170,62,28,17,20,6,2,47,97,52,43,7,451,25,77,,31.3,24.3,41,6.6,13,0,,,,,1393
Alex Karaban,,2026,74,87,77,206,82,55,18,33,11,0,72,139,94,33,33,527,40,80,81.2,34.2,23.2,43,7.8,16.8,0,,,,,2247
Henri Veesaar,,2026,72,117,40,94,64,33,46,40,58,7,68,202,64,18,37,528,31,84,85.2,31.4,21.8,52,7,12,1,,,,,1678
Zuby Ejiofor,,2026,186,259,18,59,104,72,43,59,35,1,123,148,131,43,79,604,37,81,89.4,30,21.8,78,7.2,15,0,,,,,1953
Joshua Jefferson,,2026,149,213,38,110,92,69,48,76,16,1,66,194,167,57,29,575,35,81,,30.9,22.2,89,5.9,18.7,0,,,,,1841
Milan Momcilovic,,2026,72,82,136,279,26,7,45,53,1,0,8,107,38,30,9,624,37,80,92.2,30.5,21.3,31,6.4,18.7,0,,,,,1925
Dailyn Swain,,2026,161,198,32,92,110,74,39,43,25,1,59,204,125,57,11,606,35,80,82.4,32.8,20.5,93,7.4,10.2,0,,,,,1959
Aday Mara,,2026,79,140,3,10,78,30,39,56,81,7,76,194,97,14,103,484,40,87,97.2,23.4,20.8,79,9.7,22.6,1,,,,,1665
Cameron Carr,,2026,132,164,77,205,39,32,48,53,44,7,21,170,87,29,44,623,33,77,88.8,33.7,21.2,78,7.3,8.2,0,,,,,1925
